index,longitude,latitude,province,price,tradeTypeId,buildingTypeId,bedrooms,bathroomTotal,daysOnMarket,ownerShipType,predictions
15177,-79.253214597702,44.145160436107396,Ontario,990000.0,1,3,4,1,97,Freehold,52.875152587890625
15178,-79.558841586113,43.583584598895904,Ontario,2800.0,2,6,3,3,10,Condominium/Strata,19.978763580322266
15179,-79.38160570000002,43.76847539999999,Ontario,429900.0,1,1,1,1,18,Condominium/Strata,27.42689323425293
15180,-79.4462374,43.8127733,Ontario,2900.0,2,3,4,4,3,Freehold,26.562789916992188
15181,-79.88857800000002,43.25612,Ontario,999900.0,1,3,5,4,117,Freehold,53.15262222290039
15182,-79.8645883,43.4889366,Ontario,2000.0,2,6,4,3,11,Freehold,18.26665496826172
15183,-80.3931874,43.1805667,Ontario,999900.0,1,3,7,5,104,Freehold,68.0264892578125
15184,-79.2771407,43.8748658,Ontario,649900.0,1,3,4,2,14,Freehold,35.36891174316406
15185,-75.51765400000002,45.4551,Ontario,397000.0,1,3,4,3,41,Freehold,36.389827728271484
15186,-79.3293786,43.711562,Ontario,419900.0,1,1,3,2,41,Condominium/Strata,24.3507080078125
15187,-81.329981,43.00492,Ontario,1850.0,2,3,3,4,21,Freehold,23.40656089782715
15188,-81.301698,43.02793,Ontario,739900.0,1,3,4,3,89,Condominium,55.56581497192383
15189,-79.78542159999998,43.2261477,Ontario,539900.0,1,3,4,2,58,Freehold,33.255393981933594
15190,-79.41247790000001,43.7652954,Ontario,2500.0,2,1,2,2,17,Condominium/Strata,19.394081115722656
15191,-79.820921,43.256548,Ontario,220000.0,1,3,5,3,15,Freehold,25.617586135864258
15192,-79.3835107,43.6397139,Ontario,929000.0,1,1,2,2,26,Condominium/Strata,29.22493553161621
15193,-79.3826747,43.659329,Ontario,2400.0,2,1,1,1,11,Condominium/Strata,16.89358139038086
15194,-81.190366,42.775042,Ontario,227000.0,1,3,3,2,56,Freehold,25.745149612426758
15195,-79.4790233,43.946361,Ontario,799000.0,1,3,4,3,58,Freehold,42.34864044189453
15196,-78.949573,44.0952746,Ontario,2250.0,2,3,5,3,11,Freehold,34.56659698486328
15197,-79.3850843,43.6601025,Ontario,745000.0,1,1,2,1,68,Condominium/Strata,27.586435317993164
15198,-79.878332,43.496378,Ontario,650000.0,1,6,3,3,27,Freehold,32.03699493408203
15199,-79.5060955,44.0588821,Ontario,1299900.0,1,3,4,5,39,Freehold,53.071659088134766
15200,-78.403521,44.335852,Ontario,504900.0,1,3,3,2,6,Freehold,37.51972579956055
15201,-79.85745859999999,44.3169958,Ontario,419888.0,1,6,3,3,28,Freehold,37.08024215698242
15202,-82.6563872,46.3832748,Ontario,44900.0,1,1,2,1,358,Condominium,91.01165771484375
15203,-79.8240122,43.7089602,Ontario,2400.0,2,3,4,3,43,Freehold,20.6289005279541
15204,-79.7679801,43.4294717,Ontario,899000.0,1,6,4,4,36,Freehold,35.42282485961914
15205,-79.435879,44.605477,Ontario,397000.0,1,3,4,2,20,Freehold,40.31396484375
15206,-80.966687,46.523482,Ontario,349900.0,1,3,4,2,52,Freehold,61.14091110229492
15207,-81.007246,46.441884,Ontario,394900.0,1,3,3,2,17,Freehold,62.22509765625
15208,-79.79414759999997,43.5813527,Ontario,2600.0,2,3,4,3,12,Freehold,21.155733108520508
15209,-79.88283299999998,43.234596,Ontario,399999.0,1,3,3,3,15,Freehold,25.00572967529297
15210,-79.13498680000002,43.8312003,Ontario,774900.0,1,3,4,3,32,Freehold,35.853065490722656
15211,-75.756936,45.389847,Ontario,899000.0,1,1,3,2,32,Condominium/Strata,57.100563049316406
15212,-82.76183,42.022992,Ontario,299900.0,1,3,3,2,21,Freehold,32.16963577270508
15213,-80.295956,43.378142,Ontario,495000.0,1,6,2,2,11,Condominium,32.47789764404297
15214,-79.8806737,43.2160547,Ontario,809000.0,1,3,5,4,90,Freehold,44.415435791015625
15215,-79.38470190000002,43.66177370000001,Ontario,529000.0,1,1,2,1,49,Condominium/Strata,26.620004653930664
15216,-79.4161002,43.7840324,Ontario,495000.0,1,1,2,1,43,Condominium/Strata,32.6600456237793
15217,-78.9564685,44.1070233,Ontario,449900.0,1,3,3,2,61,Freehold,35.72438430786133
15218,-79.69976700000002,43.483441,Ontario,1099000.0,1,3,4,4,50,Freehold,37.31626510620117
15219,-79.8235243,43.3575966,Ontario,639900.0,1,3,4,2,40,Freehold,32.21188735961914
