longitude,latitude,price,buildingTypeId,style,airConditioning,washrooms,basement1,cableTVIncluded,cacIncluded,familyRoom,fireplaceStove,heatSource,garageType,heatType,kitchens,parkingSpaces,parkingIncluded,room1,room1Length,room1Width,room2,room2Length,room2Width,room3,room3Length,room3Width,room4,room4Length,room4Width,room5,room5Length,room5Width,rooms,streetDirection,waterIncluded,totalParkingSpaces,daysOnMarket,bedrooms
-79.646039,43.6041405,2300.0,6,3,0,3.0,2,1,1,1,0,1,1,2,1.0,1.0,2,17,5.64,4.0,9,5.64,4.0,13,5.19,3.35,17,4.11,3.55,0,3.0,2.6,7.0,0,1,2.0,46,3.0
-79.866564,44.1627,788000.0,3,2,0,4.0,11,0,0,1,1,1,1,2,1.0,4.0,0,13,6.2,3.66,9,4.83,3.35,13,4.24,3.91,6,4.24,3.05,8,3.35,3.05,8.0,0,0,6.0,49,4.0
-78.823598,43.8969785,579000.0,12,10,0,2.0,2,0,0,0,0,1,4,2,1.0,4.0,0,17,4.89,3.78,13,3.88,3.27,18,3.76,2.95,0,3.89,2.57,1,2.94,2.88,5.0,0,0,4.0,50,5.0
-79.297164,43.8335538,2000.0,3,2,0,2.0,3,1,2,1,0,1,1,2,1.0,2.0,2,17,20.01,9.41,9,20.01,9.41,13,11.18,7.87,17,15.78,9.77,0,11.51,8.3,7.0,0,2,3.0,47,4.0
-79.6582494,44.35355,512000.0,3,2,0,4.0,3,0,0,0,0,1,0,2,1.0,2.0,0,12,4.22,1.9,16,7.34,3.37,8,7.34,3.37,12,4.34,2.45,6,3.97,2.14,7.0,0,0,4.0,69,5.0
-79.79750186204909,43.629666619982004,749000.0,6,3,0,3.0,6,0,0,0,0,1,1,2,1.0,0.0,0,8,3.71,3.03,14,3.73,1.72,13,6.29,5.67,8,6.29,5.67,21,4.2,3.85,8.0,0,0,2.0,41,4.0
-79.68589899999998,44.4012914,1650.0,3,9,0,1.0,6,1,2,0,0,1,0,2,1.0,2.0,2,9,3.1,2.6,16,6.2,3.41,18,3.7,4.3,5,3.4,3.1,5,3.3,3.4,5.0,1,1,3.0,36,3.0
-79.71037109999997,43.5984264,635000.0,6,3,0,4.0,2,1,1,1,1,1,0,2,1.0,1.0,2,14,2.96,3.03,6,2.3,3.09,8,2.95,3.63,15,2.95,3.8,21,3.7,3.4,10.0,4,1,2.0,39,3.0
-79.2480003,43.9760703,1298000.0,3,2,0,5.0,3,0,0,1,1,1,0,2,1.0,2.0,0,14,4.75,3.6,10,5.48,5.18,20,4.57,3.35,15,4.57,3.35,9,4.9,3.35,9.0,0,0,4.0,62,7.0
-79.4604317,44.2359331,1300.0,3,9,0,3.0,3,1,2,0,0,1,0,2,1.0,3.0,2,17,4.59,3.7,9,4.09,2.24,13,3.74,2.84,17,4.09,3.09,0,3.99,2.74,6.0,0,1,3.0,56,5.0
-79.52757059999998,43.7126001,695000.0,3,6,0,2.0,3,0,0,0,0,1,4,2,1.0,4.0,0,17,4.02,3.58,9,2.92,2.86,13,5.23,2.55,17,4.61,3.09,0,3.02,2.82,7.0,0,0,4.0,27,4.0
-79.468813,43.85218620000001,2800.0,6,3,0,4.0,11,1,1,1,1,1,1,2,1.0,2.0,1,11,5.18,4.15,16,5.18,3.96,8,4.21,4.15,12,4.54,3.78,21,3.38,4.36,7.0,0,1,3.0,57,4.0
-79.53405240000002,43.6042679,799800.0,3,2,0,2.0,3,0,0,0,0,1,0,2,1.0,2.0,0,17,4.83,3.38,9,4.29,2.77,13,4.29,2.97,17,4.14,3.43,5,4.32,2.82,6.0,0,0,3.0,7,3.0
-79.7337875,43.3782896,2300.0,3,6,0,2.0,4,1,1,0,0,1,0,2,1.0,2.0,2,17,4.45,4.26,9,3.05,4.29,13,2.62,5.88,17,3.96,3.26,0,4.14,3.23,5.0,0,1,2.0,59,4.0
-79.7335246,43.5457798,1350000.0,3,2,0,4.0,3,0,0,1,1,1,0,2,1.0,2.0,0,14,4.1,5.22,6,4.1,5.22,16,4.55,3.91,8,4.1,3.82,8,3.27,3.0,9.0,0,0,4.0,33,5.0
-79.721609,43.769217,969900.0,3,2,0,4.0,10,0,0,1,1,1,0,2,1.0,2.0,0,17,6.7,3.39,9,6.7,3.39,9,5.79,3.84,12,3.59,3.35,6,3.65,3.04,10.0,0,0,4.0,62,4.0
-77.890395,44.427064,249900.0,3,0,1,2.0,8,0,0,1,0,1,3,2,1.0,4.0,0,11,4.58,4.06,16,3.53,3.76,8,4.72,3.3,12,4.72,3.86,33,7.19,2.1,8.0,0,0,5.0,58,4.0
-79.808532,43.679961,699000.0,3,0,0,8.0,3,0,0,0,0,1,0,2,1.0,2.0,0,17,5.2,3.85,13,3.06,2.43,6,3.06,2.43,17,3.85,3.65,0,4.5,2.98,6.0,0,0,2.0,26,4.0
-79.7259132,43.4800754,469900.0,6,18,0,2.0,6,1,2,0,0,1,7,2,1.0,2.0,2,17,3.35,5.79,9,3.35,5.79,13,3.35,2.43,17,3.23,3.66,0,2.68,3.53,4.0,0,2,2.0,67,2.0
-79.66606390000003,43.4707549,2600.0,3,9,0,2.0,3,1,1,1,1,1,3,2,1.0,6.0,2,17,4.37,4.09,9,2.62,2.57,13,4.27,3.0,17,3.56,3.48,0,3.0,2.77,9.0,0,1,7.0,7,4.0
-78.75860990000002,44.0936156,599900.0,3,9,1,2.0,4,0,0,0,0,3,0,2,1.0,4.0,0,14,3.76,3.18,9,3.76,3.03,16,6.22,4.84,17,4.8,3.92,0,3.56,2.9,5.0,0,0,6.0,44,4.0
-79.7212061,43.4977779,1398888.0,3,2,0,4.0,4,0,0,1,1,1,0,2,1.0,2.0,0,21,11.0,9.0,16,18.0,12.6,9,17.0,13.9,12,13.4,18.6,21,19.6,13.0,9.0,0,0,4.0,45,4.0
-79.6197219,43.8644807,1099900.0,3,2,0,3.0,11,0,0,1,1,1,1,2,1.0,2.0,0,17,3.94,3.38,9,3.69,4.05,9,6.76,4.33,12,3.07,4.05,21,4.84,4.0,8.0,0,0,4.0,45,4.0
-79.6170194,43.5260086,878000.0,3,2,0,3.0,0,0,0,1,1,1,3,2,1.0,3.0,0,17,4.6,4.64,9,4.56,3.64,13,4.56,4.12,17,4.53,4.27,0,4.2,3.77,8.0,0,0,4.0,50,3.0
-79.88154859999999,43.21957670000001,544900.0,3,10,0,2.0,3,0,0,0,1,1,0,2,1.0,4.0,0,18,3.96,2.92,0,3.51,2.67,1,3.02,2.46,8,3.12,2.64,16,4.39,2.84,6.0,0,0,5.0,32,5.0
-79.5736453,43.6032962,1349000.0,3,2,0,4.0,3,0,0,1,1,1,0,2,1.0,6.0,0,17,5.03,3.99,9,4.02,3.08,13,7.1,4.6,9,4.6,4.2,8,2.78,2.17,9.0,0,0,8.0,61,5.0
-79.4616296,43.9953798,999900.0,3,0,0,2.0,4,0,0,1,1,1,5,2,1.0,2.0,0,17,5.18,3.41,9,3.26,3.14,13,9.72,7.01,9,5.27,3.2,21,4.11,3.38,7.0,0,0,2.0,33,3.0
-79.4768043,43.6298692,499900.0,1,4,0,1.0,6,1,2,0,1,1,7,2,1.0,1.0,2,17,4.95,4.0,9,4.95,4.0,13,2.5,2.35,17,3.7,3.1,8,3.25,2.55,5.0,4,2,1.0,53,2.0
-79.42730870000003,43.8728222,339000.0,1,4,0,2.0,6,2,2,0,0,1,7,2,1.0,0.0,2,12,3.35,1.09,16,6.32,3.66,13,2.74,2.29,23,1.7,1.52,21,3.56,3.66,4.0,1,2,1.0,29,2.0
-79.28355959999998,43.78344110000001,349900.0,1,4,1,2.0,6,2,1,0,0,1,7,5,1.0,1.0,2,17,5.45,3.75,9,3.65,2.85,13,3.05,2.55,17,4.6,3.35,0,3.15,2.85,6.0,1,2,1.0,21,3.0
-79.3892079,43.8245954,1579000.0,3,2,0,4.0,3,0,0,1,1,1,0,2,1.0,2.0,0,17,5.69,3.48,9,4.06,3.58,9,3.91,4.22,12,3.91,4.22,21,5.13,4.22,8.0,0,0,4.0,60,5.0
-79.3892079,43.7766194,3800.0,3,16,0,3.0,3,1,2,0,1,1,1,2,1.0,3.0,2,17,5.5,5.48,9,3.66,3.05,13,3.66,3.05,17,3.9,3.66,0,4.19,3.4,7.0,0,1,4.0,10,4.0
-79.3892079,43.7766194,3800.0,3,16,0,3.0,3,1,2,0,1,1,1,2,1.0,3.0,2,17,5.5,5.48,9,3.66,3.05,13,3.66,3.05,17,3.9,3.66,0,4.19,3.4,7.0,0,1,4.0,10,4.0
-79.7788485,43.5964634,769900.0,3,2,0,3.0,3,0,0,0,1,1,5,2,1.0,3.0,0,17,3.66,3.66,9,3.35,3.05,13,3.05,2.64,6,3.66,2.23,21,5.18,3.76,6.0,0,0,4.0,37,3.0
-79.22999200000002,43.8959904,839000.0,3,2,0,3.0,3,0,0,1,0,1,3,2,1.0,2.0,0,17,3.2,5.83,9,3.2,5.83,9,3.09,6.33,12,3.13,3.68,6,2.49,2.97,9.0,0,0,3.0,37,4.0
-79.4873058,43.9803452,1767000.0,3,8,0,5.0,3,0,0,1,1,1,1,2,1.0,4.0,0,14,4.0,3.35,10,4.9,4.0,8,6.7,4.45,15,6.7,4.45,21,4.85,4.58,11.0,0,0,7.0,52,5.0
-79.744425,43.7129199,959000.0,3,2,0,5.0,0,0,0,1,1,1,0,2,1.0,3.0,0,17,10.82,3.75,9,3.38,4.27,9,7.48,3.41,12,3.69,3.81,6,3.78,3.66,9.0,0,0,5.0,40,6.0
